ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:13870
21799012,2016-10-26 18:39:11,255C - Almost Arithmetical Progression,GNU C++14,Accepted,311 ms,74700 KB
21798971,2016-10-26 18:37:44,255C - Almost Arithmetical Progression,GNU C++14,Wrong answer on test 7,15 ms,74500 KB
21797036,2016-10-26 17:27:46,348A - Mafia,GNU C++14,Accepted,436 ms,0 KB
21729874,2016-10-24 00:26:22,231C - To Add or Not to Add,GNU C++14,Accepted,466 ms,1600 KB
21729799,2016-10-24 00:18:19,231C - To Add or Not to Add,GNU C++14,Wrong answer on test 9,312 ms,1200 KB
21720740,2016-10-23 22:22:36,348A - Mafia,GNU C++14,Wrong answer on test 3,30 ms,0 KB
21716294,2016-10-23 18:39:32,486C - Palindrome Transformation,GNU C++14,Accepted,30 ms,700 KB
21716225,2016-10-23 18:36:13,486C - Palindrome Transformation,GNU C++14,Wrong answer on test 12,31 ms,700 KB
21714895,2016-10-23 17:26:36,75C - Modified GCD,GNU C++14,Accepted,124 ms,0 KB
21714665,2016-10-23 17:14:55,340D - Bubble Sort Graph,GNU C++14,Accepted,280 ms,800 KB
21714624,2016-10-23 17:13:11,340D - Bubble Sort Graph,GNU C++14,Wrong answer on test 51,280 ms,800 KB
21711525,2016-10-23 15:18:54,332B - Maximum Absurdity,GNU C++14,Accepted,998 ms,5500 KB
21626103,2016-10-20 21:45:48,285C - Building Permutation,GNU C++14,Wrong answer on test 1,0 ms,0 KB
21625614,2016-10-20 21:22:41,277A - Learning Languages,GNU C++14,Accepted,60 ms,200 KB
21623919,2016-10-20 20:08:23,217A - Ice Skating,GNU C++14,Wrong answer on test 3,30 ms,7900 KB
21602856,2016-10-19 22:29:36,337A - Puzzles,GNU C++14,Accepted,30 ms,1900 KB
21602781,2016-10-19 22:26:17,282A - Bit++,GNU C++14,Accepted,30 ms,1900 KB
21602580,2016-10-19 22:16:20,217A - Ice Skating,GNU C++14,Wrong answer on test 1,30 ms,7900 KB
21601857,2016-10-19 21:44:08,58A - Chat room,GNU C++14,Accepted,15 ms,1900 KB
21601800,2016-10-19 21:41:00,230A - Dragons,GNU C++14,Accepted,30 ms,1900 KB
21601713,2016-10-19 21:36:21,337A - Puzzles,GNU C++14,Wrong answer on test 3,60 ms,1900 KB
21601607,2016-10-19 21:29:43,230A - Dragons,GNU C++14,Wrong answer on test 9,30 ms,1900 KB
21601457,2016-10-19 21:20:45,122A - Lucky Division,GNU C++14,Accepted,30 ms,1900 KB
21601400,2016-10-19 21:17:40,208A - Dubstep,GNU C++14,Accepted,60 ms,1900 KB
21601247,2016-10-19 21:10:05,208A - Dubstep,GNU C++14,Wrong answer on test 3,30 ms,1900 KB
21600856,2016-10-19 20:44:45,214A - System of Equations,GNU C++14,Accepted,30 ms,1900 KB
21600741,2016-10-19 20:39:17,208A - Dubstep,GNU C++14,Wrong answer on test 3,0 ms,1800 KB
21600626,2016-10-19 20:33:27,318A - Even Odds,GNU C++14,Accepted,30 ms,1900 KB
21600483,2016-10-19 20:27:35,281A - Word Capitalization,GNU C++14,Accepted,30 ms,1900 KB
21600410,2016-10-19 20:24:37,69A - Young Physicist,GNU C++14,Accepted,30 ms,1900 KB
21600292,2016-10-19 20:19:20,344A - Magnets,GNU C++14,Accepted,156 ms,1900 KB
21600194,2016-10-19 20:15:22,231A - Team,GNU C++14,Accepted,30 ms,1900 KB
21600177,2016-10-19 20:14:47,231A - Team,GNU C++14,Wrong answer on test 1,30 ms,1900 KB
21600102,2016-10-19 20:12:04,263A - Beautiful Matrix,GNU C++14,Accepted,30 ms,1900 KB
21599990,2016-10-19 20:08:06,236A - Boy or Girl,GNU C++14,Accepted,30 ms,2000 KB
21556942,2016-10-18 07:27:22,4A - Watermelon,GNU C++14,Accepted,30 ms,1900 KB
21539869,2016-10-17 19:06:47,732C - Sanatorium,GNU C++14,Wrong answer on pretest 4,15 ms,1900 KB
21532699,2016-10-17 18:17:35,732B - Cormen --- The Best Friend Of a Man,GNU C++14,Accepted,31 ms,1900 KB
21532510,2016-10-17 18:16:28,732B - Cormen --- The Best Friend Of a Man,GNU C++14,Wrong answer on pretest 1,0 ms,1900 KB
21529689,2016-10-17 18:02:32,732A - Buy a Shovel,GNU C++14,Accepted,15 ms,1900 KB
21528666,2016-10-17 17:58:18,732A - Buy a Shovel,GNU C++14,Wrong answer on pretest 5,15 ms,1900 KB
21528232,2016-10-17 17:56:36,732A - Buy a Shovel,GNU C++14,Wrong answer on pretest 4,15 ms,1900 KB
21527571,2016-10-17 17:54:00,732A - Buy a Shovel,GNU C++14,Wrong answer on pretest 5,217 ms,1900 KB
21526302,2016-10-17 17:50:14,732A - Buy a Shovel,GNU C++14,Wrong answer on pretest 5,202 ms,1900 KB
21525568,2016-10-17 17:47:48,732A - Buy a Shovel,GNU C++14,Wrong answer on pretest 5,30 ms,1900 KB
21524072,2016-10-17 17:43:44,732A - Buy a Shovel,GNU C++14,Wrong answer on pretest 5,15 ms,1900 KB
21213305,2016-10-05 18:34:31,463B - Caisa and Pylons,GNU C++14,Accepted,202 ms,100 KB
21212643,2016-10-05 18:12:59,96A - Football,GNU C++14,Accepted,60 ms,100 KB
21212505,2016-10-05 18:08:43,285A - Slightly Decreasing Permutations,GNU C++14,Accepted,62 ms,100 KB
21212280,2016-10-05 18:01:59,339B - Xenia and Ringroad,GNU C++14,Accepted,280 ms,100 KB
21212061,2016-10-05 17:54:39,71A - Way Too Long Words,GNU C++14,Accepted,30 ms,100 KB
21211931,2016-10-05 17:50:13,141A - Amusing Joke,GNU C++14,Accepted,30 ms,100 KB
21211550,2016-10-05 17:38:02,61A - Ultra-Fast Mathematician,GNU C++14,Accepted,15 ms,100 KB
21211416,2016-10-05 17:33:58,116A - Tram,GNU C++14,Accepted,60 ms,100 KB
21211324,2016-10-05 17:30:53,112A - Petya and Strings,GNU C++14,Accepted,30 ms,100 KB
21211206,2016-10-05 17:26:27,110A - Nearly Lucky Number,GNU C++14,Accepted,30 ms,100 KB
21211103,2016-10-05 17:23:24,110A - Nearly Lucky Number,GNU C++14,Wrong answer on test 7,30 ms,100 KB
21206795,2016-10-05 14:21:44,110A - Nearly Lucky Number,GNU C++14,Wrong answer on test 4,30 ms,0 KB
21206728,2016-10-05 14:18:18,136A - Presents,GNU C++14,Accepted,30 ms,0 KB
20852268,2016-09-23 16:51:36,719B - Anatoly and Cockroaches,GNU C++14,Accepted,15 ms,300 KB
20851690,2016-09-23 16:49:15,719B - Anatoly and Cockroaches,GNU C++14,Time limit exceeded on pretest 6,1000 ms,3000 KB
20838578,2016-09-23 16:11:11,719A - Vitya in the Countryside,GNU C++14,Hacked,15 ms,0 KB
20710103,2016-09-17 18:37:59,716B - Complete the Word,GNU C++14,Accepted,31 ms,300 KB
20706498,2016-09-17 18:18:34,716B - Complete the Word,GNU C++14,Wrong answer on pretest 6,15 ms,100 KB
20704708,2016-09-17 18:08:20,716B - Complete the Word,GNU C++14,Wrong answer on pretest 6,15 ms,100 KB
20684664,2016-09-17 16:50:12,716A - Crazy Computer,GNU C++14,Accepted,46 ms,0 KB
20589705,2016-09-13 20:47:32,714C - Sonya and Queries,GNU C++14,Accepted,373 ms,39100 KB
20586441,2016-09-13 20:28:50,714C - Sonya and Queries,GNU C++14,Wrong answer on pretest 1,0 ms,39100 KB
20584480,2016-09-13 20:19:20,714C - Sonya and Queries,GNU C++14,Wrong answer on pretest 3,15 ms,3900 KB
20580947,2016-09-13 20:05:32,714B - Filya and Homework,GNU C++,Wrong answer on test 19,280 ms,3100 KB
20579151,2016-09-13 19:59:21,714B - Filya and Homework,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
20575283,2016-09-13 19:48:43,714A - Meeting of Old Friends,GNU C++,Accepted,15 ms,0 KB
20529101,2016-09-11 14:13:19,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 3,30 ms,5500 KB
20528620,2016-09-11 13:56:41,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 3,30 ms,5500 KB
20528494,2016-09-11 13:52:44,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,15 ms,5500 KB
20528320,2016-09-11 13:46:56,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 1,15 ms,5500 KB
20527954,2016-09-11 13:34:42,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,0 ms,5500 KB
20527708,2016-09-11 13:27:51,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,15 ms,5500 KB
20527624,2016-09-11 13:25:04,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,0 ms,5500 KB
20527304,2016-09-11 13:15:19,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,15 ms,5500 KB
20524639,2016-09-11 12:13:19,717C - Potions Homework,GNU C++,Accepted,46 ms,1600 KB
20524526,2016-09-11 12:11:43,717C - Potions Homework,GNU C++,Wrong answer on test 10,46 ms,800 KB
20510855,2016-09-10 21:07:15,712B - Memory and Trident,GNU C++,Accepted,46 ms,300 KB
20510547,2016-09-10 21:03:33,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
20510240,2016-09-10 21:00:28,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,46 ms,0 KB
20509258,2016-09-10 20:50:10,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
20508277,2016-09-10 20:41:46,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
20506807,2016-09-10 20:32:26,712B - Memory and Trident,GNU C++,Wrong answer on pretest 4,0 ms,0 KB
20502834,2016-09-10 20:10:25,712A - Memory and Crow,GNU C++,Accepted,327 ms,7800 KB
20424663,2016-09-06 22:58:40,676C - Vasya and String,GNU C++,Wrong answer on test 9,31 ms,0 KB
20424631,2016-09-06 22:55:25,676C - Vasya and String,GNU C++,Wrong answer on test 9,15 ms,0 KB
20255105,2016-08-29 17:04:15,711C - Coloring Trees,GNU C++,Time limit exceeded on pretest 11,2000 ms,0 KB
20247966,2016-08-29 16:20:57,711B - Chris and Magic Square,GNU C++,Wrong answer on test 93,701 ms,2000 KB
20241811,2016-08-29 15:51:37,711B - Chris and Magic Square,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
20240250,2016-08-29 15:45:09,711B - Chris and Magic Square,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
20233463,2016-08-29 15:21:17,711A - Bus to Udayland,GNU C++,Accepted,15 ms,100 KB
20226992,2016-08-29 12:58:22,682B - Alyona and Mex,GNU C++,Accepted,234 ms,3900 KB
20059187,2016-08-22 18:15:29,710B - Optimal Point on a Line,GNU C++,Wrong answer on test 2,15 ms,3200 KB
20058784,2016-08-22 18:12:18,710B - Optimal Point on a Line,GNU C++,Wrong answer on test 2,15 ms,3200 KB
20054082,2016-08-22 17:39:53,710E - Generate a String,GNU C++,Wrong answer on test 6,15 ms,80300 KB
20053894,2016-08-22 17:38:46,710E - Generate a String,GNU C++,Wrong answer on test 6,15 ms,80300 KB
20053582,2016-08-22 17:37:10,710E - Generate a String,GNU C++,Wrong answer on test 6,15 ms,41200 KB
20051565,2016-08-22 17:26:51,710B - Optimal Point on a Line,GNU C++,Wrong answer on test 2,0 ms,2000 KB
20048107,2016-08-22 17:14:42,710A - King Moves,GNU C++,Accepted,15 ms,2000 KB
19837042,2016-08-13 00:05:02,225C - Barcode,GNU C++,Time limit exceeded on test 10,2000 ms,2000 KB
19837022,2016-08-13 00:03:36,225C - Barcode,GNU C++,Time limit exceeded on test 10,2000 ms,2000 KB
19836465,2016-08-12 23:14:51,225C - Barcode,GNU C++,Wrong answer on test 2,30 ms,2000 KB
19835185,2016-08-12 21:37:15,602B - Approximating a Constant Range,GNU C++,Accepted,46 ms,9100 KB
19834952,2016-08-12 21:19:43,706C - Hard problem,GNU C++,Accepted,109 ms,30800 KB
19825426,2016-08-12 12:47:17,534B - Covered Path,GNU C++,Accepted,30 ms,2900 KB
19825399,2016-08-12 12:45:25,534B - Covered Path,GNU C++,Runtime error on test 6,15 ms,2100 KB
19825366,2016-08-12 12:43:23,534B - Covered Path,GNU C++,Runtime error on test 4,15 ms,2100 KB
19802701,2016-08-11 20:38:23,706C - Hard problem,GNU C++,Time limit exceeded on test 70,1000 ms,34000 KB
19799932,2016-08-11 20:25:04,706C - Hard problem,GNU C++,Wrong answer on pretest 7,0 ms,13800 KB
19796820,2016-08-11 20:09:22,706B - Interesting drink,GNU C++,Accepted,78 ms,5900 KB
19792533,2016-08-11 19:50:42,706B - Interesting drink,GNU C++,Wrong answer on pretest 5,15 ms,5900 KB
19789195,2016-08-11 19:41:29,706A - Beru-taxi,GNU C++,Accepted,31 ms,2100 KB
19747958,2016-08-09 16:27:13,446A - DZY Loves Sequences,GNU C++,Accepted,234 ms,3200 KB
19747938,2016-08-09 16:25:27,446A - DZY Loves Sequences,GNU C++,Wrong answer on test 2,0 ms,3200 KB
19747893,2016-08-09 16:22:29,446A - DZY Loves Sequences,GNU C++,Wrong answer on test 2,15 ms,3200 KB
19747606,2016-08-09 16:05:22,166E - Tetrahedron,GNU C++,Accepted,312 ms,2000 KB
19704063,2016-08-07 18:23:08,705C - Thor,GNU C++,Accepted,436 ms,183200 KB
19703819,2016-08-07 18:21:36,705C - Thor,GNU C++,Runtime error on pretest 5,234 ms,181900 KB
19701588,2016-08-07 18:06:52,705C - Thor,GNU C++,Wrong answer on pretest 3,15 ms,4400 KB
19700862,2016-08-07 18:02:23,705C - Thor,GNU C++,Wrong answer on pretest 3,15 ms,5600 KB
19699367,2016-08-07 17:53:20,705C - Thor,GNU C++,Wrong answer on pretest 3,15 ms,5600 KB
19692861,2016-08-07 17:19:54,705B - Spider Man,GNU C++,Accepted,46 ms,2000 KB
19689856,2016-08-07 17:11:15,705A - Hulk,GNU C++,Accepted,15 ms,2000 KB
19628606,2016-08-04 19:32:07,703B - Mishka and trip,GNU C++,Accepted,46 ms,13800 KB
19625339,2016-08-04 18:59:53,703B - Mishka and trip,GNU C++,Wrong answer on pretest 4,15 ms,13800 KB
19618689,2016-08-04 18:18:55,703A - Mishka and Game,GNU C++,Accepted,15 ms,2000 KB
19530918,2016-07-31 08:37:44,86D - Powerful array,GNU C++,Accepted,4490 ms,8600 KB
19530761,2016-07-31 08:25:01,86D - Powerful array,GNU C++,Wrong answer on test 22,1808 ms,8600 KB
19530729,2016-07-31 08:22:25,86D - Powerful array,GNU C++,Runtime error on test 8,1776 ms,5500 KB
19530706,2016-07-31 08:20:04,86D - Powerful array,GNU C++,Wrong answer on test 6,1716 ms,4700 KB
19530686,2016-07-31 08:18:17,86D - Powerful array,GNU C++,Wrong answer on test 1,30 ms,4700 KB
19530631,2016-07-31 08:12:18,86D - Powerful array,GNU C++,Wrong answer on test 6,936 ms,4700 KB
19530554,2016-07-31 08:03:44,86D - Powerful array,GNU C++,Wrong answer on test 1,30 ms,3900 KB
19530541,2016-07-31 08:02:02,86D - Powerful array,GNU C++,Compilation error,0 ms,0 KB
19491350,2016-07-29 18:56:08,702C - Cellular Network,GNU C++,Accepted,93 ms,2500 KB
19486829,2016-07-29 18:26:21,702B - Powers of Two,GNU C++,Accepted,342 ms,45200 KB
19482765,2016-07-29 18:04:33,702A - Maximum Increase,GNU C++,Accepted,15 ms,800 KB
18934545,2016-07-06 21:29:02,689B - Mike and Shortcuts,GNU C++,Accepted,530 ms,3100 KB
18932614,2016-07-06 21:08:55,689B - Mike and Shortcuts,GNU C++,Wrong answer on pretest 4,15 ms,3900 KB
18932263,2016-07-06 21:05:30,689B - Mike and Shortcuts,GNU C++,Wrong answer on pretest 4,15 ms,3900 KB
18931456,2016-07-06 20:57:16,689B - Mike and Shortcuts,GNU C++,Wrong answer on pretest 4,15 ms,3900 KB
18927530,2016-07-06 20:22:31,689A - Mike and Cellphone,GNU C++,Wrong answer on test 69,15 ms,0 KB
18907436,2016-07-05 23:51:36,433B - Kuriyama Mirai's Stones,GNU C++,Accepted,1138 ms,1600 KB
18907425,2016-07-05 23:49:53,433B - Kuriyama Mirai's Stones,GNU C++,Wrong answer on test 2,0 ms,1600 KB
18907265,2016-07-05 23:35:30,611C - New Year and Domino,GNU C++,Accepted,608 ms,4200 KB
18907114,2016-07-05 23:22:10,611C - New Year and Domino,GNU C++,Wrong answer on test 2,0 ms,4200 KB
18865708,2016-07-03 12:52:47,414B - Mashmokh and ACM,GNU C++,Accepted,156 ms,15800 KB
18818553,2016-06-30 10:17:12,688D - Remainders Game,GNU C++,Accepted,857 ms,10300 KB
18818514,2016-06-30 10:14:56,688D - Remainders Game,GNU C++,Time limit exceeded on test 31,1000 ms,10100 KB
18818228,2016-06-30 09:58:33,688D - Remainders Game,GNU C++,Wrong answer on test 12,156 ms,10100 KB
18801607,2016-06-29 21:15:41,688D - Remainders Game,GNU C++,Wrong answer on test 12,186 ms,10100 KB
18792952,2016-06-29 20:27:19,688B - Lovely Palindromes,GNU C++,Accepted,31 ms,200 KB
18791265,2016-06-29 20:20:53,688A - Opponents,GNU C++,Accepted,15 ms,0 KB
18763995,2016-06-28 11:10:20,431C - k-Tree,GNU C++,Accepted,15 ms,0 KB
18763067,2016-06-28 09:44:22,474D - Flowers,GNU C++,Accepted,624 ms,1600 KB
18758008,2016-06-27 23:37:23,545C - Woodcutters,GNU C++,Wrong answer on test 8,405 ms,1200 KB
18757893,2016-06-27 23:26:27,545C - Woodcutters,GNU C++,Wrong answer on test 8,420 ms,1600 KB
18756489,2016-06-27 21:13:54,550C - Divisibility by Eight,GNU C++,Accepted,15 ms,200 KB
18748603,2016-06-27 11:18:17,550C - Divisibility by Eight,GNU C++,Accepted,31 ms,0 KB
18742554,2016-06-26 23:29:27,363B - Fence,GNU C++,Accepted,264 ms,1200 KB
18742548,2016-06-26 23:28:37,363B - Fence,GNU C++,Wrong answer on test 1,0 ms,0 KB
18742537,2016-06-26 23:27:40,363B - Fence,GNU C++,Runtime error on test 5,109 ms,400 KB
18742518,2016-06-26 23:26:01,363B - Fence,GNU C++,Runtime error on test 5,109 ms,400 KB
18742425,2016-06-26 23:17:56,363B - Fence,GNU C++,Wrong answer on test 3,15 ms,400 KB
18742290,2016-06-26 23:03:38,476B - Dreamoon and WiFi,GNU C++,Accepted,15 ms,0 KB
18742281,2016-06-26 23:02:39,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 5,15 ms,0 KB
18742262,2016-06-26 22:59:33,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 1,15 ms,0 KB
18674415,2016-06-23 20:00:46,686B - Little Robber Girl's Zoo,GNU C++,Accepted,31 ms,0 KB
18669563,2016-06-23 19:43:14,686A - Free Ice Cream,GNU C++,Accepted,15 ms,0 KB
18562875,2016-06-17 21:21:29,682B - Alyona and Mex,GNU C++,Wrong answer on test 50,218 ms,3900 KB
18560736,2016-06-17 21:01:00,682B - Alyona and Mex,GNU C++,Wrong answer on pretest 6,15 ms,3900 KB
18554831,2016-06-17 20:13:24,682A - Alyona and Numbers,GNU C++,Accepted,15 ms,7800 KB
18337361,2016-06-09 10:50:58,538B - Quasi Binary,GNU C++,Accepted,93 ms,10000 KB
18336432,2016-06-09 09:39:15,538B - Quasi Binary,GNU C++,Accepted,15 ms,2200 KB
18336148,2016-06-09 09:19:48,368B - Sereja and Suffixes,GNU C++,Accepted,624 ms,3400 KB
18335979,2016-06-09 09:05:14,651A - Joysticks,GNU C++,Accepted,30 ms,2300 KB
18335958,2016-06-09 09:03:53,651A - Joysticks,GNU C++,Wrong answer on test 3,15 ms,2100 KB
18335214,2016-06-09 07:53:46,313B - Ilya and Queries,GNU C++,Accepted,1370 ms,2800 KB
18316374,2016-06-08 20:27:52,680B - Bear and Finding Criminals,GNU C++,Accepted,15 ms,2200 KB
18313673,2016-06-08 20:15:39,680A - Bear and Five Cards,GNU C++,Accepted,15 ms,2200 KB
18293859,2016-06-08 08:54:03,630R - Game,GNU C++,Accepted,15 ms,2200 KB
18293766,2016-06-08 08:40:33,630F - Selection of Personnel,GNU C++,Accepted,15 ms,2000 KB
18293745,2016-06-08 08:37:27,630F - Selection of Personnel,GNU C++,Wrong answer on test 2,15 ms,2000 KB
18293640,2016-06-08 08:23:57,630L - Cracking the Code,GNU C++,Accepted,15 ms,2000 KB
18267488,2016-06-06 11:49:05,550A - Two Substrings,GNU C++,Wrong answer on test 4,15 ms,2000 KB
18267235,2016-06-06 11:27:55,489B - BerSU Ball,GNU C++,Accepted,15 ms,2200 KB
18266230,2016-06-06 09:44:22,489C - Given Length and Sum of Digits...,GNU C++,Wrong answer on test 18,15 ms,2000 KB
18266206,2016-06-06 09:42:18,489C - Given Length and Sum of Digits...,GNU C++,Wrong answer on test 9,15 ms,2000 KB
18266182,2016-06-06 09:39:53,489C - Given Length and Sum of Digits...,GNU C++,Wrong answer on test 8,15 ms,2000 KB
18266151,2016-06-06 09:35:52,489C - Given Length and Sum of Digits...,GNU C++,Wrong answer on test 7,15 ms,2000 KB
18266123,2016-06-06 09:32:32,489C - Given Length and Sum of Digits...,GNU C++,Wrong answer on test 7,15 ms,2000 KB
18227695,2016-06-03 10:30:16,189A - Cut Ribbon,GNU C++,Accepted,30 ms,2200 KB
18227683,2016-06-03 10:29:06,189A - Cut Ribbon,GNU C++,Wrong answer on test 1,15 ms,2000 KB
18227518,2016-06-03 10:14:14,327A - Flipping Game,GNU C++,Accepted,30 ms,2200 KB
18227502,2016-06-03 10:11:39,327A - Flipping Game,GNU C++,Wrong answer on test 1,0 ms,2000 KB
18227482,2016-06-03 10:10:03,327A - Flipping Game,GNU C++,Wrong answer on test 3,30 ms,2000 KB
18227373,2016-06-03 10:00:40,327A - Flipping Game,GNU C++,Accepted,30 ms,2200 KB
18227347,2016-06-03 09:58:31,327A - Flipping Game,GNU C++,Wrong answer on test 3,0 ms,2100 KB
18227033,2016-06-03 09:36:31,455A - Boredom,GNU C++,Accepted,187 ms,3700 KB
18227017,2016-06-03 09:35:22,455A - Boredom,GNU C++,Compilation error,0 ms,0 KB
18226989,2016-06-03 09:33:47,455A - Boredom,GNU C++,Wrong answer on test 12,156 ms,3000 KB
18221245,2016-06-02 20:47:19,455A - Boredom,GNU C++,Runtime error on test 3,15 ms,2800 KB
18219609,2016-06-02 18:43:48,580A - Kefa and First Steps,GNU C++,Accepted,249 ms,2100 KB
17602724,2016-05-01 07:42:18,667A - Pouring Rain,GNU C++,Accepted,15 ms,2200 KB
17602564,2016-05-01 07:17:18,667A - Pouring Rain,GNU C++,Wrong answer on test 2,15 ms,2000 KB
17602519,2016-05-01 07:10:22,667A - Pouring Rain,GNU C++,Wrong answer on test 2,15 ms,2000 KB
17059348,2016-03-30 22:27:11,637A - Voting for Photos,GNU C++,Accepted,31 ms,2200 KB
16382138,2016-02-27 15:29:56,633A - Ebony and Ivory,GNU C,Wrong answer on test 11,15 ms,0 KB
16382103,2016-02-27 15:28:20,633A - Ebony and Ivory,GNU C,Wrong answer on test 11,15 ms,0 KB
16381908,2016-02-27 15:19:36,633A - Ebony and Ivory,GNU C,Time limit exceeded on test 16,2000 ms,0 KB
16182181,2016-02-18 20:57:55,630L - Cracking the Code,GNU C++11,Wrong answer on test 5,15 ms,0 KB
16181891,2016-02-18 20:56:10,630L - Cracking the Code,GNU C++11,Wrong answer on test 5,15 ms,0 KB
16178906,2016-02-18 20:34:13,630N - Forecast,GNU C++11,Accepted,15 ms,0 KB
16177585,2016-02-18 20:25:05,630J - Divisibility,GNU C++11,Accepted,15 ms,0 KB
16177223,2016-02-18 20:22:42,630J - Divisibility,GNU C++11,Time limit exceeded on test 7,500 ms,0 KB
16175427,2016-02-18 20:10:52,630D - Hexagons!,GNU C++11,Accepted,15 ms,0 KB
16174672,2016-02-18 20:06:13,630D - Hexagons!,GNU C++11,Wrong answer on test 5,15 ms,0 KB
16174178,2016-02-18 20:03:16,630D - Hexagons!,GNU C++11,Wrong answer on test 5,15 ms,0 KB
16173079,2016-02-18 19:56:27,630C - Lucky Numbers,GNU C++11,Accepted,15 ms,0 KB
16172009,2016-02-18 19:50:22,630C - Lucky Numbers,GNU C++,Wrong answer on test 6,15 ms,0 KB
16171355,2016-02-18 19:46:32,630B - Moore's Law,GNU C++,Accepted,15 ms,0 KB
16170809,2016-02-18 19:43:33,630B - Moore's Law,GNU C++11,Memory limit exceeded on test 2,124 ms,65500 KB
16167278,2016-02-18 19:24:38,630A - Again Twenty Five!,GNU C,Accepted,15 ms,0 KB
