ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:20091
21577550,2016-10-18 23:46:22,714C - Sonya and Queries,GNU C++11,Accepted,530 ms,13800 KB
21575239,2016-10-18 21:41:25,721D - Maxim and Array,GNU C++11,Accepted,249 ms,16000 KB
21575171,2016-10-18 21:38:09,721D - Maxim and Array,GNU C++11,Wrong answer on test 9,171 ms,9000 KB
21575149,2016-10-18 21:37:03,721D - Maxim and Array,GNU C++11,Wrong answer on test 9,124 ms,9000 KB
21574133,2016-10-18 20:45:13,721C - Journey,GNU C++11,Accepted,140 ms,198500 KB
21574119,2016-10-18 20:44:35,721C - Journey,GNU C++11,Wrong answer on test 1,61 ms,198300 KB
21176982,2016-10-04 05:39:52,721B - Passwords,GNU C++11,Accepted,31 ms,0 KB
21176927,2016-10-04 05:35:04,721B - Passwords,GNU C++11,Wrong answer on test 5,15 ms,0 KB
21176881,2016-10-04 05:31:49,721B - Passwords,GNU C++11,Wrong answer on test 7,15 ms,0 KB
21042080,2016-09-30 19:03:07,721B - Passwords,GNU C++11,Wrong answer on pretest 5,15 ms,0 KB
21028982,2016-09-30 17:52:23,721B - Passwords,GNU C++11,Hacked,15 ms,0 KB
21026817,2016-09-30 17:42:24,721B - Passwords,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
21020703,2016-09-30 17:20:26,721A - One-dimensional Japanese Crossword,GNU C++11,Accepted,15 ms,0 KB
20996841,2016-09-29 18:40:53,630R - Game,GNU C++11,Accepted,15 ms,0 KB
20996494,2016-09-29 18:24:42,630O - Arrow,GNU C++11,Accepted,15 ms,0 KB
20996471,2016-09-29 18:23:43,630O - Arrow,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20995337,2016-09-29 17:38:36,630E - A rectangle,GNU C++11,Accepted,15 ms,0 KB
20995121,2016-09-29 17:29:48,630E - A rectangle,GNU C++11,Wrong answer on test 23,15 ms,0 KB
20995120,2016-09-29 17:29:41,630P - Area of a Star,GNU C++11,Accepted,15 ms,0 KB
20995105,2016-09-29 17:29:07,630E - A rectangle,GNU C++11,Wrong answer on test 22,15 ms,0 KB
20994977,2016-09-29 17:24:23,630Q - Pyramids,GNU C++11,Accepted,15 ms,0 KB
20994599,2016-09-29 17:09:30,630E - A rectangle,GNU C++11,Wrong answer on test 22,15 ms,0 KB
20994382,2016-09-29 17:01:17,630E - A rectangle,GNU C++11,Wrong answer on test 5,15 ms,0 KB
20994343,2016-09-29 16:59:55,630M - Turn,GNU C++11,Accepted,15 ms,0 KB
20994200,2016-09-29 16:54:19,630I - Parking Lot,GNU C++11,Accepted,15 ms,0 KB
20994105,2016-09-29 16:50:37,630I - Parking Lot,GNU C++11,Wrong answer on test 2,15 ms,0 KB
20993535,2016-09-29 16:31:24,630L - Cracking the Code,GNU C++11,Accepted,15 ms,100 KB
20993259,2016-09-29 16:22:13,630N - Forecast,GNU C++11,Accepted,15 ms,0 KB
20993248,2016-09-29 16:21:44,630K - Indivisibility,GNU C++11,Accepted,186 ms,31300 KB
20993239,2016-09-29 16:21:15,630N - Forecast,GNU C++11,Wrong answer on test 3,15 ms,0 KB
20993113,2016-09-29 16:17:14,630G - Challenge Pennants,GNU C++11,Accepted,15 ms,0 KB
20992887,2016-09-29 16:10:09,630H - Benches,GNU C++11,Accepted,15 ms,0 KB
20992789,2016-09-29 16:07:02,630K - Indivisibility,GNU C++11,Wrong answer on test 2,15 ms,0 KB
20992713,2016-09-29 16:04:35,630H - Benches,GNU C++11,Wrong answer on test 2,0 ms,100 KB
20992553,2016-09-29 15:58:40,630R - Game,GNU C++11,Accepted,15 ms,0 KB
20992542,2016-09-29 15:58:07,630R - Game,GNU C++11,Wrong answer on test 6,0 ms,0 KB
20992318,2016-09-29 15:50:38,630J - Divisibility,GNU C++11,Accepted,15 ms,0 KB
20992285,2016-09-29 15:49:37,630F - Selection of Personnel,GNU C++11,Accepted,15 ms,100 KB
20992069,2016-09-29 15:41:59,630D - Hexagons!,GNU C++11,Accepted,15 ms,0 KB
20991951,2016-09-29 15:37:46,630C - Lucky Numbers,GNU C++11,Accepted,15 ms,0 KB
20991892,2016-09-29 15:35:41,630B - Moore's Law,GNU C++11,Accepted,15 ms,0 KB
20991773,2016-09-29 15:31:11,630A - Again Twenty Five!,GNU C++11,Accepted,15 ms,0 KB
20593118,2016-09-13 21:10:48,714B - Filya and Homework,GNU C++11,Accepted,61 ms,3600 KB
20591999,2016-09-13 21:02:46,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 6,15 ms,400 KB
20591283,2016-09-13 20:57:55,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 6,15 ms,800 KB
20586972,2016-09-13 20:31:39,714A - Meeting of Old Friends,GNU C++11,Accepted,30 ms,0 KB
20584597,2016-09-13 20:19:53,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,0 ms,800 KB
20583237,2016-09-13 20:14:14,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,0 ms,800 KB
20577842,2016-09-13 19:55:31,714A - Meeting of Old Friends,GNU C++11,Wrong answer on pretest 3,15 ms,0 KB
20575728,2016-09-13 19:49:48,714A - Meeting of Old Friends,GNU C++11,Wrong answer on pretest 3,15 ms,0 KB
20256680,2016-08-29 18:59:34,711B - Chris and Magic Square,GNU C++11,Accepted,78 ms,2000 KB
20255284,2016-08-29 17:04:53,711C - Coloring Trees,GNU C++11,Accepted,296 ms,9700 KB
20254544,2016-08-29 17:00:21,711C - Coloring Trees,GNU C++11,Wrong answer on pretest 12,171 ms,9700 KB
20242085,2016-08-29 15:52:38,711B - Chris and Magic Square,GNU C++11,Wrong answer on test 88,93 ms,2000 KB
20240306,2016-08-29 15:45:20,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 4,15 ms,2000 KB
20238159,2016-08-29 15:36:44,711B - Chris and Magic Square,GNU C++11,Runtime error on pretest 4,15 ms,1000 KB
20232321,2016-08-29 15:17:25,711A - Bus to Udayland,GNU C++11,Accepted,31 ms,0 KB
20127098,2016-08-24 20:53:11,709B - Checkpoints,GNU C++11,Accepted,46 ms,2800 KB
20126648,2016-08-24 20:50:18,709B - Checkpoints,GNU C++11,Wrong answer on pretest 9,15 ms,2800 KB
20125532,2016-08-24 20:43:00,709B - Checkpoints,GNU C++11,Wrong answer on pretest 9,15 ms,2800 KB
20124166,2016-08-24 20:34:35,709C - Letters Cyclic Shift,GNU C++11,Accepted,31 ms,2300 KB
20123077,2016-08-24 20:28:44,709B - Checkpoints,GNU C++11,Wrong answer on pretest 9,15 ms,2800 KB
20121757,2016-08-24 20:22:15,709B - Checkpoints,GNU C++11,Wrong answer on pretest 9,31 ms,2800 KB
20119004,2016-08-24 20:09:58,709C - Letters Cyclic Shift,GNU C++11,Wrong answer on pretest 8,15 ms,2300 KB
20116090,2016-08-24 19:59:01,709C - Letters Cyclic Shift,GNU C++11,Wrong answer on pretest 7,15 ms,2000 KB
20112728,2016-08-24 19:46:41,709A - Juicer,GNU C++11,Accepted,31 ms,2800 KB
19812360,2016-08-11 23:17:52,706C - Hard problem,GNU C++11,Accepted,109 ms,7000 KB
19808359,2016-08-11 21:14:48,706C - Hard problem,GNU C++11,Wrong answer on test 48,109 ms,6900 KB
19808014,2016-08-11 21:12:26,706C - Hard problem,GNU C++11,Wrong answer on pretest 1,15 ms,6700 KB
19806276,2016-08-11 21:00:28,706C - Hard problem,GNU C++11,Skipped,93 ms,6900 KB
19798097,2016-08-11 20:15:54,706B - Interesting drink,GNU C++11,Wrong answer on pretest 1,15 ms,2000 KB
19797342,2016-08-11 20:12:04,706B - Interesting drink,GNU C++11,Accepted,311 ms,3100 KB
19790676,2016-08-11 19:45:08,706A - Beru-taxi,GNU C++11,Accepted,15 ms,2000 KB
19722793,2016-08-08 10:40:45,705B - Spider Man,GNU C++11,Accepted,46 ms,2800 KB
19710151,2016-08-07 19:04:15,705C - Thor,GNU C++11,Wrong answer on pretest 3,0 ms,3200 KB
19707954,2016-08-07 18:50:28,705C - Thor,GNU C++11,Wrong answer on pretest 3,15 ms,2000 KB
19703689,2016-08-07 18:20:44,705C - Thor,GNU C++11,Wrong answer on pretest 3,15 ms,2000 KB
19703641,2016-08-07 18:20:25,705C - Thor,GNU C++11,Wrong answer on pretest 3,15 ms,2000 KB
19699097,2016-08-07 17:51:43,705B - Spider Man,GNU C++11,Wrong answer on test 23,46 ms,2800 KB
19698941,2016-08-07 17:50:46,705B - Spider Man,GNU C++11,Skipped,31 ms,2800 KB
19698508,2016-08-07 17:48:06,705B - Spider Man,GNU C++11,Runtime error on pretest 3,15 ms,2800 KB
19688887,2016-08-07 17:09:38,705A - Hulk,GNU C++11,Accepted,15 ms,2000 KB
19513490,2016-07-30 11:32:31,139C - Literature Lesson,GNU C++11,Wrong answer on test 14,60 ms,300 KB
19513358,2016-07-30 11:25:54,139C - Literature Lesson,GNU C++11,Wrong answer on test 8,30 ms,300 KB
19513304,2016-07-30 11:23:30,139C - Literature Lesson,GNU C++11,Wrong answer on test 6,30 ms,300 KB
19511412,2016-07-30 10:00:23,139B - Wallpaper,GNU C++11,Accepted,30 ms,0 KB
19511170,2016-07-30 09:48:51,139B - Wallpaper,GNU C++11,Wrong answer on test 4,0 ms,0 KB
19511099,2016-07-30 09:45:29,139B - Wallpaper,GNU C++11,Wrong answer on test 1,30 ms,0 KB
19510282,2016-07-30 09:02:50,139A - Petr and Book,GNU C++11,Accepted,30 ms,0 KB
19478126,2016-07-29 13:56:10,140D - New Year Contest,GNU C++11,Accepted,30 ms,0 KB
19477941,2016-07-29 13:44:25,140D - New Year Contest,GNU C++11,Wrong answer on test 4,30 ms,0 KB
19477801,2016-07-29 13:34:20,140D - New Year Contest,GNU C++11,Wrong answer on test 4,30 ms,0 KB
19477763,2016-07-29 13:31:21,140D - New Year Contest,GNU C++11,Wrong answer on test 2,0 ms,0 KB
19476709,2016-07-29 12:19:27,140C - New Year Snowmen,GNU C++11,Accepted,186 ms,6400 KB
19473918,2016-07-29 09:43:24,140B - New Year Cards,GNU C++11,Accepted,62 ms,400 KB
19471642,2016-07-29 06:51:45,140B - New Year Cards,GNU C++11,Time limit exceeded on test 1,2000 ms,300 KB
19437194,2016-07-27 11:47:20,140A - New Year Table,GNU C++11,Accepted,30 ms,0 KB
19436713,2016-07-27 11:21:50,140A - New Year Table,GNU C++11,Wrong answer on test 8,30 ms,0 KB
19436664,2016-07-27 11:18:54,140A - New Year Table,GNU C++11,Wrong answer on test 8,30 ms,0 KB
19436336,2016-07-27 11:01:13,140A - New Year Table,GNU C++11,Wrong answer on test 6,30 ms,0 KB
19436172,2016-07-27 10:54:20,140A - New Year Table,GNU C++11,Wrong answer on test 6,30 ms,0 KB
19436093,2016-07-27 10:49:20,140A - New Year Table,GNU C++11,Wrong answer on test 6,30 ms,0 KB
19436051,2016-07-27 10:46:59,140A - New Year Table,GNU C++11,Wrong answer on test 6,0 ms,0 KB
19435955,2016-07-27 10:41:24,140A - New Year Table,GNU C++11,Wrong answer on test 6,0 ms,0 KB
19400743,2016-07-25 12:43:59,604D - Moodular Arithmetic,GNU C++11,Accepted,31 ms,0 KB
19398849,2016-07-25 11:18:39,604B - More Cowbell,GNU C++11,Accepted,31 ms,800 KB
19398608,2016-07-25 11:08:24,604A - Uncowed Forces,GNU C++11,Accepted,30 ms,0 KB
19345668,2016-07-22 21:22:53,701C - They Are Everywhere,GNU C++11,Time limit exceeded on pretest 11,2000 ms,200 KB
19343246,2016-07-22 21:02:01,701B - Cells Not Under Attack,GNU C++11,Accepted,78 ms,2400 KB
19342058,2016-07-22 20:52:13,701B - Cells Not Under Attack,GNU C++11,Wrong answer on pretest 1,0 ms,1600 KB
19330979,2016-07-22 19:48:10,701A - Cards,GNU C++11,Accepted,15 ms,0 KB
19330174,2016-07-22 19:45:44,701A - Cards,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
19330167,2016-07-22 19:45:43,701A - Cards,GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
19330164,2016-07-22 19:45:42,701A - Cards,GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
19330160,2016-07-22 19:45:42,701A - Cards,GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
19330158,2016-07-22 19:45:42,701A - Cards,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
19330155,2016-07-22 19:45:42,701A - Cards,GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
19183553,2016-07-17 06:54:56,697B - Barnicle,GNU C++11,Accepted,15 ms,0 KB
19183517,2016-07-17 06:51:24,697B - Barnicle,GNU C++11,Wrong answer on test 1,15 ms,0 KB
19183386,2016-07-17 06:36:25,697B - Barnicle,GNU C++11,Runtime error on test 8,15 ms,0 KB
19182947,2016-07-17 06:17:43,697B - Barnicle,GNU C++11,Runtime error on test 8,15 ms,0 KB
19136155,2016-07-14 23:55:03,697C - Lorenzo Von Matterhorn,GNU C++11,Accepted,31 ms,3800 KB
19133976,2016-07-14 22:35:03,696A - Lorenzo Von Matterhorn,GNU C++11,Accepted,46 ms,3800 KB
19124863,2016-07-14 20:42:04,697B - Barnicle,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
19124705,2016-07-14 20:40:39,697B - Barnicle,GNU C++11,Hacked,15 ms,0 KB
19123999,2016-07-14 20:35:08,697B - Barnicle,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
19122646,2016-07-14 20:26:10,697B - Barnicle,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
19120739,2016-07-14 20:15:05,697B - Barnicle,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
19114179,2016-07-14 19:45:56,697A - Pineapple Incident,GNU C++11,Accepted,31 ms,0 KB
18559890,2016-06-17 20:51:28,682B - Alyona and Mex,GNU C++11,Accepted,46 ms,1000 KB
18555404,2016-06-17 20:16:56,682A - Alyona and Numbers,GNU C++11,Accepted,15 ms,0 KB
18551024,2016-06-17 19:54:19,682A - Alyona and Numbers,GNU C++11,Wrong answer on pretest 11,15 ms,0 KB
18477865,2016-06-14 22:28:57,681B - Economy Game,GNU C++11,Accepted,31 ms,2200 KB
18469631,2016-06-14 20:42:05,681C - Heap Operations,GNU C++11,Time limit exceeded on test 11,1000 ms,35300 KB
18465729,2016-06-14 20:18:09,681B - Economy Game,GNU C++11,Wrong answer on test 24,31 ms,2100 KB
18458529,2016-06-14 19:44:13,681A - A Good Contest,GNU C++11,Accepted,15 ms,2200 KB
18248468,2016-06-04 23:02:56,677E - Vanya and Balloons,GNU C++11,Accepted,889 ms,72600 KB
18203688,2016-06-01 22:09:41,677C - Vanya and Label,GNU C++11,Accepted,31 ms,2300 KB
18199164,2016-06-01 20:59:32,677B - Vanya and Food Processor,GNU C++11,Accepted,46 ms,2800 KB
18199058,2016-06-01 20:58:40,677B - Vanya and Food Processor,GNU C++11,Runtime error on pretest 9,15 ms,2100 KB
18197744,2016-06-01 20:47:33,677B - Vanya and Food Processor,GNU C++11,Wrong answer on pretest 5,0 ms,2100 KB
18197604,2016-06-01 20:46:27,677B - Vanya and Food Processor,GNU C++11,Wrong answer on pretest 5,15 ms,2100 KB
18197294,2016-06-01 20:43:49,677B - Vanya and Food Processor,GNU C++11,Wrong answer on pretest 5,15 ms,2300 KB
18195198,2016-06-01 20:27:01,677B - Vanya and Food Processor,GNU C++11,Time limit exceeded on pretest 8,1000 ms,2100 KB
18187556,2016-06-01 19:40:51,677A - Vanya and Fence,GNU C++11,Accepted,15 ms,2200 KB
17853726,2016-05-11 20:13:33,672B - Different is Good,GNU C++11,Accepted,30 ms,2300 KB
17852217,2016-05-11 20:02:38,672B - Different is Good,GNU C++11,Wrong answer on pretest 8,31 ms,2300 KB
17849107,2016-05-11 19:47:40,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
17526573,2016-04-26 22:13:58,577B - Modulo Sum,GNU C++11,Runtime error on test 15,234 ms,80500 KB
17526223,2016-04-26 21:39:08,577B - Modulo Sum,GNU C++11,Runtime error on test 15,280 ms,80300 KB
17525866,2016-04-26 21:00:14,577B - Modulo Sum,GNU C++11,Runtime error on test 13,15 ms,2200 KB
17525744,2016-04-26 20:48:26,577B - Modulo Sum,GNU C++11,Memory limit exceeded on test 16,514 ms,262100 KB
17525424,2016-04-26 20:19:58,577B - Modulo Sum,GNU C++11,Wrong answer on test 5,15 ms,2000 KB
17522367,2016-04-26 16:37:40,577B - Modulo Sum,GNU C++11,Memory limit exceeded on test 16,482 ms,262100 KB
17514241,2016-04-25 22:57:53,577B - Modulo Sum,GNU C++11,Wrong answer on test 5,15 ms,2200 KB
17132411,2016-04-02 18:03:58,659D - Bicycle Race,GNU C++11,Accepted,15 ms,2200 KB
17069774,2016-03-31 11:39:17,659B - Qualifying Contest,GNU C++11,Accepted,624 ms,5300 KB
17056684,2016-03-30 21:17:45,659C - Tanya and Toys,GNU C++11,Accepted,93 ms,10500 KB
17055992,2016-03-30 21:10:14,659C - Tanya and Toys,GNU C++11,Memory limit exceeded on pretest 1,15 ms,262100 KB
17055917,2016-03-30 21:09:29,659C - Tanya and Toys,GNU C++11,Compilation error,0 ms,0 KB
17050529,2016-03-30 20:19:20,659B - Qualifying Contest,GNU C++11,Wrong answer on test 9,576 ms,5200 KB
17042083,2016-03-30 19:28:07,659A - Round House,GNU C++11,Accepted,15 ms,2200 KB
17040494,2016-03-30 19:20:35,659A - Round House,GNU C++11,Wrong answer on pretest 7,15 ms,2000 KB
17031253,2016-03-30 12:50:09,574A - Bear and Elections,GNU C++11,Accepted,30 ms,0 KB
17030604,2016-03-30 11:59:16,577A - Multiplication Table,GNU C++11,Accepted,15 ms,0 KB
16924563,2016-03-25 16:27:29,567A - Lineland Mail,GNU C++11,Accepted,93 ms,5300 KB
16920474,2016-03-25 14:26:10,567A - Lineland Mail,GNU C++11,Time limit exceeded on test 11,3000 ms,2800 KB
16920406,2016-03-25 14:22:51,567A - Lineland Mail,GNU C++11,Wrong answer on test 6,0 ms,2800 KB
16911415,2016-03-24 21:21:59,560A - Currency System in Geraldion,GNU C++11,Accepted,15 ms,2000 KB
16909426,2016-03-24 19:00:32,556A - Case of the Zeros and Ones,GNU C++11,Accepted,46 ms,2700 KB
16896128,2016-03-23 21:21:14,552A - Vanya and Table,GNU C++11,Accepted,15 ms,2100 KB
16896048,2016-03-23 21:15:34,552A - Vanya and Table,GNU C++11,Runtime error on test 9,15 ms,2100 KB
16893146,2016-03-23 20:28:53,551A - GukiZ and Contest,GNU C++11,Accepted,15 ms,2200 KB
16893128,2016-03-23 20:27:11,551A - GukiZ and Contest,GNU C++11,Wrong answer on test 16,15 ms,2000 KB
16892925,2016-03-23 20:10:47,550A - Two Substrings,GNU C++11,Accepted,15 ms,2400 KB
16892905,2016-03-23 20:08:15,550A - Two Substrings,GNU C++11,Wrong answer on test 79,15 ms,2300 KB
16892889,2016-03-23 20:06:23,550A - Two Substrings,GNU C++11,Wrong answer on test 79,15 ms,2400 KB
16892558,2016-03-23 19:54:11,550A - Two Substrings,GNU C++11,Wrong answer on test 79,15 ms,2300 KB
16892215,2016-03-23 19:42:24,550A - Two Substrings,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
16891777,2016-03-23 19:28:06,550A - Two Substrings,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
16887736,2016-03-23 17:03:08,548A - Mike and Fax,GNU C++11,Accepted,15 ms,2200 KB
16882912,2016-03-23 11:40:09,546A - Soldier and Bananas,GNU C++11,Accepted,31 ms,1800 KB
16882889,2016-03-23 11:39:08,545A - Toy Cars,GNU C++11,Accepted,15 ms,2200 KB
16882188,2016-03-23 10:41:40,544A - Set of Strings,GNU C++11,Accepted,15 ms,2200 KB
16881881,2016-03-23 10:15:00,544A - Set of Strings,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
16877485,2016-03-22 23:06:52,540A - Combination Lock,GNU C++11,Accepted,15 ms,2200 KB
16877015,2016-03-22 22:13:28,540A - Combination Lock,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
16876452,2016-03-22 21:31:23,538A - Cutting Banner,GNU C++11,Accepted,15 ms,2200 KB
16876420,2016-03-22 21:29:36,538A - Cutting Banner,GNU C++11,Wrong answer on test 6,15 ms,2000 KB
16876407,2016-03-22 21:28:33,538A - Cutting Banner,GNU C++11,Wrong answer on test 6,15 ms,2200 KB
16874205,2016-03-22 19:20:25,554A - Kyoya and Photobooks,GNU C++11,Accepted,15 ms,2200 KB
16871911,2016-03-22 17:03:26,357C - Knight Tournament,GNU C++11,Accepted,1934 ms,36200 KB
16871887,2016-03-22 17:02:20,357D - Xenia and Hamming,GNU C++11,Accepted,77 ms,109800 KB
16871870,2016-03-22 17:01:22,357C - Knight Tournament,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
16841976,2016-03-20 18:39:47,357B - Flag Day,GNU C++11,Accepted,46 ms,2600 KB
16841551,2016-03-20 18:16:52,357A - Group of Students,GNU C++11,Accepted,15 ms,2200 KB
16841542,2016-03-20 18:16:32,357A - Group of Students,GNU C,Compilation error,0 ms,0 KB
